temperature,n,n_batches,solvable_pct,solvable_ci95_batched,solvable_ci95,avg_walls,avg_walls_ci95_batched,avg_walls_ci95
0.5,10000,10,80.9500,1.1973,0.7697,74.3259,0.1111,0.1201
0.6,10000,10,81.1700,1.0478,0.7663,73.1820,0.1036,0.1262
0.7,10000,10,80.1500,0.5983,0.7818,71.9938,0.1238,0.1307
0.8,10000,10,79.0600,0.5779,0.7975,70.9158,0.1544,0.1328
0.9,10000,10,77.7300,0.5613,0.8155,69.8699,0.1548,0.1338
1.0,10000,10,77.3400,0.5012,0.8205,68.8973,0.1526,0.1332
1.1,10000,10,75.7400,1.1673,0.8402,67.9069,0.1327,0.1320
